center_x_px,center_y_px,row_index,col_index,pred_x_px,pred_y_px,residual_px
1.047893985728848065e+03,9.878939857288480653e+02,2.400000000000000000e+01,2.500000000000000000e+01,1.046526748971193228e+03,9.870602535286881221e+02,1.601388688940336813e+00
1.015000000000000000e+03,9.878262626262625190e+02,2.400000000000000000e+01,2.400000000000000000e+01,1.013845679012345499e+03,9.870602535286881221e+02,1.385361642354227873e+00
4.915000000000000000e+02,9.876915113871635867e+02,2.400000000000000000e+01,8.000000000000000000e+00,4.909485596707818331e+02,9.870602535286881221e+02,8.381962303513837975e-01
4.588710010319917387e+02,9.878710010319916819e+02,2.400000000000000000e+01,7.000000000000000000e+00,4.582674897119341040e+02,9.870602535286881221e+02,1.010711347294896312e+00
4.260882051282051179e+02,9.878533333333332394e+02,2.400000000000000000e+01,6.000000000000000000e+00,4.255864197530863748e+02,9.870602535286881221e+02,9.384903511592408432e-01
3.932076843198338452e+02,9.879387331256489233e+02,2.400000000000000000e+01,5.000000000000000000e+00,3.929053497942386457e+02,9.870602535286881221e+02,9.290492816009741084e-01
3.607873210633946428e+02,9.880000000000000000e+02,2.400000000000000000e+01,4.000000000000000000e+00,3.602242798353909166e+02,9.870602535286881221e+02,1.095508491420796870e+00
3.279413580246913398e+02,9.880586419753086602e+02,2.400000000000000000e+01,3.000000000000000000e+00,3.275432098765431874e+02,9.870602535286881221e+02,1.074849495612838934e+00
2.950882051282051179e+02,9.881466666666666470e+02,2.400000000000000000e+01,2.000000000000000000e+00,2.948621399176954583e+02,9.870602535286881221e+02,1.109684182898504679e+00
2.624130434782608745e+02,9.883271221532090749e+02,2.400000000000000000e+01,1.000000000000000000e+00,2.621810699588477291e+02,9.870602535286881221e+02,1.287931607463894679e+00
2.295858895705521547e+02,9.884141104294478737e+02,2.400000000000000000e+01,0.000000000000000000e+00,2.295000000000000000e+02,9.870602535286881221e+02,1.356578610351952152e+00
9.821551551551551711e+02,9.877047047047045680e+02,2.400000000000000000e+01,2.300000000000000000e+01,9.811646090534977702e+02,9.870602535286881221e+02,1.181735544772033242e+00
9.493651741293531359e+02,9.877124378109451754e+02,2.400000000000000000e+01,2.200000000000000000e+01,9.484835390946500411e+02,9.870602535286881221e+02,1.096642454238880404e+00
9.166716716716716746e+02,9.876206206206204570e+02,2.400000000000000000e+01,2.100000000000000000e+01,9.158024691358023119e+02,9.870602535286881221e+02,1.034178092053023690e+00
8.839251497005988085e+02,9.875988023952095318e+02,2.400000000000000000e+01,2.000000000000000000e+01,8.831213991769545828e+02,9.870602535286881221e+02,9.674966593688384409e-01
8.511017964071855886e+02,9.875359281437125674e+02,2.400000000000000000e+01,1.900000000000000000e+01,8.504403292181068537e+02,9.870602535286881221e+02,8.147424019936466699e-01
8.184054878048780211e+02,9.874573170731707705e+02,2.400000000000000000e+01,1.800000000000000000e+01,8.177592592592591245e+02,9.870602535286881221e+02,7.584660780350288567e-01
7.857730496453899605e+02,9.873991894630191837e+02,2.400000000000000000e+01,1.700000000000000000e+01,7.850781893004113954e+02,9.870602535286881221e+02,7.731160757639180536e-01
7.530000000000000000e+02,9.875000000000000000e+02,2.400000000000000000e+01,1.600000000000000000e+01,7.523971193415636662e+02,9.870602535286881221e+02,7.462184983956613449e-01
7.203189300411522709e+02,9.874567901234568126e+02,2.400000000000000000e+01,1.500000000000000000e+01,7.197160493827159371e+02,9.870602535286881221e+02,7.215998609391328644e-01
6.875945121951219789e+02,9.874573170731707705e+02,2.400000000000000000e+01,1.400000000000000000e+01,6.870349794238682080e+02,9.870602535286881221e+02,6.861023104931573968e-01
6.550000000000000000e+02,9.875000000000000000e+02,2.400000000000000000e+01,1.300000000000000000e+01,6.543539094650204788e+02,9.870602535286881221e+02,7.815433055316718391e-01
6.222249488752555635e+02,9.875000000000000000e+02,2.400000000000000000e+01,1.200000000000000000e+01,6.216728395061727497e+02,9.870602535286881221e+02,7.058340558943518861e-01
5.895945121951219789e+02,9.875426829268292295e+02,2.400000000000000000e+01,1.100000000000000000e+01,5.889917695473250205e+02,9.870602535286881221e+02,7.720342114596213667e-01
5.569638554216867306e+02,9.875783132530120838e+02,2.400000000000000000e+01,1.000000000000000000e+01,5.563106995884772914e+02,9.870602535286881221e+02,8.336656526582680860e-01
5.241702344546381482e+02,9.877023445463812550e+02,2.400000000000000000e+01,9.000000000000000000e+00,5.236296296296295623e+02,9.870602535286881221e+02,8.393655055008913957e-01
1.047659763313609346e+03,9.550236686390531986e+02,2.300000000000000000e+01,2.500000000000000000e+01,1.046526748971193228e+03,9.543750599206767902e+02,1.305532370213207338e+00
1.014906187624750373e+03,9.550000000000000000e+02,2.300000000000000000e+01,2.400000000000000000e+01,1.013845679012345499e+03,9.543750599206767902e+02,1.230946229422476002e+00
9.820473313192345586e+02,9.549526686807653277e+02,2.300000000000000000e+01,2.300000000000000000e+01,9.811646090534977702e+02,9.543750599206767902e+02,1.054907805525443498e+00
9.492313131313130725e+02,9.549363636363635806e+02,2.300000000000000000e+01,2.200000000000000000e+01,9.484835390946500411e+02,9.543750599206767902e+02,9.350015353736708112e-01
9.165773809523809632e+02,9.548869047619048160e+02,2.300000000000000000e+01,2.100000000000000000e+01,9.158024691358023119e+02,9.543750599206767902e+02,9.286944949578241904e-01
8.839117948717947684e+02,9.548533333333332394e+02,2.300000000000000000e+01,2.000000000000000000e+01,8.831213991769545828e+02,9.543750599206767902e+02,9.238348400422804474e-01
8.510882051282051179e+02,9.548533333333332394e+02,2.300000000000000000e+01,1.900000000000000000e+01,8.504403292181068537e+02,9.543750599206767902e+02,8.052879312020641001e-01
8.183201621073960723e+02,9.547912867274568498e+02,2.300000000000000000e+01,1.800000000000000000e+01,8.177592592592591245e+02,9.543750599206767902e+02,6.984674364137994917e-01
7.530000000000000000e+02,9.547873210633946428e+02,2.300000000000000000e+01,1.600000000000000000e+01,7.523971193415636662e+02,9.543750599206767902e+02,7.303590473949487238e-01
6.550000000000000000e+02,9.547873210633946428e+02,2.300000000000000000e+01,1.300000000000000000e+01,6.543539094650204788e+02,9.543750599206767902e+02,7.664151806854777593e-01
6.221289989680082044e+02,9.548710010319916819e+02,2.300000000000000000e+01,1.200000000000000000e+01,6.216728395061727497e+02,9.543750599206767902e+02,6.738241911019976493e-01
