X,Pressure (bar),Y
0.0,1.5,0.0
0.009446859359741211,1.5,0.0
0.025494098663330078,1.5,0.004
0.041883230209350586,1.5,0.08566666666666667
0.05693554878234863,1.49,0.3753333333333333
0.07238411903381348,1.49,1.5506666666666666
0.08934402465820312,1.48,2.75
0.10609102249145508,1.48,3.7743333333333333
0.12151694297790527,1.47,4.6353333333333335
0.13675785064697266,1.47,5.107666666666667
0.1534109115600586,1.45,4.921333333333333
0.17016148567199707,1.44,4.379666666666666
0.1853330135345459,1.44,3.8486666666666665
0.20198369026184082,1.43,3.3009999999999997
0.21720385551452637,1.43,2.867
0.23329520225524902,1.43,2.450333333333333
0.2492227554321289,1.43,2.0946666666666665
0.26531028747558594,1.43,1.819
0.2809104919433594,1.43,1.5546666666666666
0.29763174057006836,1.43,1.3296666666666666
0.3138420581817627,1.43,1.1356666666666666
0.3292827606201172,1.43,0.9886666666666666
0.34673428535461426,1.43,0.8316666666666667
0.3618199825286865,1.43,0.7256666666666667
0.3768942356109619,1.43,0.6303333333333333
0.39397716522216797,1.43,0.5403333333333333
0.40843820571899414,1.44,0.469
0.425642728805542,1.44,0.4023333333333333
0.44193029403686523,1.44,0.3436666666666667
0.45737648010253906,1.44,0.30133333333333334
0.47394227981567383,1.44,0.26
0.4888885021209717,1.45,0.22633333333333333
0.5055015087127686,1.45,0.194
0.5204672813415527,1.45,0.16799999999999998
0.5381531715393066,1.46,0.14333333333333334
0.5537805557250977,1.46,0.12566666666666665
0.5697543621063232,1.46,0.109
0.5873692035675049,1.46,0.09
0.6019680500030518,1.47,0.07633333333333334
0.617711067199707,1.47,0.06566666666666666
0.6343135833740234,1.47,0.057999999999999996
0.6501460075378418,1.47,0.051333333333333335
0.6647963523864746,1.47,0.046
0.68145751953125,1.47,0.04033333333333333
0.6978483200073242,1.47,0.03233333333333333
0.7147865295410156,1.47,0.027666666666666666
0.7310652732849121,1.47,0.024
0.7446000576019287,1.47,0.020666666666666667
0.7615828514099121,1.47,0.016
0.7768802642822266,1.48,0.014
0.7923791408538818,1.48,0.011333333333333332
0.8097102642059326,1.48,0.009333333333333332
0.8250102996826172,1.48,0.008
0.8430266380310059,1.48,0.006666666666666666
0.8583440780639648,1.48,0.005666666666666666
0.8739628791809082,1.48,0.0026666666666666666
0.8904380798339844,1.47,0.0016666666666666666
0.9056296348571777,1.47,0.0
0.9204225540161133,1.48,0.0
0.9380905628204346,1.48,0.0
0.9530322551727295,1.48,0.0
0.9701707363128662,1.49,0.0
0.9852137565612793,1.49,0.0
1.0012619495391846,1.49,0.0
1.017171859741211,1.49,0.0
1.0332159996032715,1.49,0.0
1.0495190620422363,1.49,0.0
1.0662345886230469,1.49,0.0
1.0820870399475098,1.49,0.0
1.0967600345611572,1.49,0.0
1.1143059730529785,1.5,0.0
